"","...1","title","author","subject","abstract","meta"
"72",72,"detecting security-relevant methods using multi-label machine learning","oshando johnson, goran piskachev, ranjith krishnamurthy, eric bodden","machine learning","to detect security vulnerabilities, static analysis tools need to be configured with security-relevant methods. current approaches can automatically identify such methods using binary relevance machine learning approaches. however, they ignore dependencies among security-relevant methods, over-generalize and perform poorly in practice. additionally, users have to nevertheless manually configure static analysis tools using the detected methods. based on feedback from users and our observations, the excessive manual steps can often be tedious, error-prone and counter-intuitive. in this paper, we present dev-assist, an intellij idea plugin that detects security-relevant methods using a multi-label machine learning approach that considers dependencies among labels. the plugin can automatically generate configurations for static analysis tools, run the static analysis, and show the results in intellij idea. our experiments reveal that dev-assist's machine learning approach has a higher f1-measure than related approaches. moreover, the plugin reduces and simplifies the manual effort required when configuring and using static analysis tools.",2024-03-12
"73",73,"flame: fitting lyα absorption lines using machine learning","priyanka jalan, vikram khaire, m. vivek, prakash gaikwad","cosmology and nongalactic astrophysics","we introduce flame, a machine learning algorithm designed to fit voigt profiles to hi lyman-alpha (ly$\alpha$) absorption lines using deep convolutional neural networks. flame integrates two algorithms: the first determines the number of components required to fit ly$\alpha$ absorption lines, and the second calculates the doppler parameter $b$, the hi column density n$_{\rm hi}$, and the velocity separation of individual components. for the current version of flame, we trained it on low-redshift ly$\alpha$ forests observed with the far ultraviolet gratings of the cosmic origin spectrograph (cos) aboard the hubble space telescope (hst). drawing on this data, we trained flame on $\sim$ $10^6$ simulated voigt profiles, forward-modeled to ly$\alpha$ absorption lines observed with hst-cos, to classify lines as either single or double components and then determine voigt profile fitting parameters. flame shows impressive accuracy on the simulated data by identifying more than 98% (90%) of single (double) component lines. it determines $b$ values within $\approx \pm{8}~(15)$ km s$^{-1}$ and log $n_{\rm hi}/ {\rm cm}^2$ values within $\approx \pm 0.3~(0.8)$ for 90% of the single (double) component lines. however, when applied to real data, flame's component classification accuracy drops by $\sim$ 10%. despite this, there is a reasonable agreement between the $b$ and n$_{\rm hi}$ distributions obtained from traditional voigt profile fitting methods and flame's predictions. our mock hst-cos data analysis, designed to emulate real data parameters, demonstrated that flame could achieve consistent accuracy comparable to its performance with simulated data. this finding suggests that the drop in flame's accuracy when used on real data primarily arises from the difficulty of replicating the full complexity of real data in the training sample.",2024-03-12
"74",74,"tuning diagonal scale matrices for hmc","jimmy huy tran, tore selland kleppe","computation","three approaches for adaptively tuning diagonal scale matrices for hmc are discussed and compared. the common practice of scaling according to estimated marginal standard deviations is taken as a benchmark. scaling according to the mean log-target gradient (isg), and a scaling method targeting that the frequency of when the underlying hamiltonian dynamics crosses the respective medians should be uniform across dimensions, are taken as alternatives. numerical studies suggest that the isg method leads in many cases to more efficient sampling than the benchmark, in particular in cases with strong correlations or non-linear dependencies. the isg method is also easy to implement, computationally cheap and would be relatively simple to include in automatically tuned codes as an alternative to the benchmark practice.",2024-03-12
"75",75,"signed graphs in data sciences via communicability geometry","fernando diaz-diaz, ernesto estrada","metric geometry","signed graphs are an emergent way of representing data in a variety of contexts were conflicting interactions exist. these include data from biological, ecological, and social systems. here we propose the concept of communicability geometry for signed graphs, proving that metrics in this space, such as the communicability distance and angles, are euclidean and spherical. we then apply these metrics to solve several problems in data analysis of signed graphs in a unified way. they include the partitioning of signed graphs, dimensionality reduction, finding hierarchies of alliances in signed networks as well as the quantification of the degree of polarization between the existing factions in systems represented by this type of graphs.",2024-03-12
"76",76,"xpertai: uncovering model strategies for sub-manifolds","simon letzgus, klaus-robert müller, grégoire montavon","machine learning","in recent years, explainable ai (xai) methods have facilitated profound validation and knowledge extraction from ml models. while extensively studied for classification, few xai solutions have addressed the challenges specific to regression models. in regression, explanations need to be precisely formulated to address specific user queries (e.g.\ distinguishing between `why is the output above 0?' and `why is the output above 50?'). they should furthermore reflect the model's behavior on the relevant data sub-manifold. in this paper, we introduce xpertai, a framework that disentangles the prediction strategy into multiple range-specific sub-strategies and allows the formulation of precise queries about the model (the `explanandum') as a linear combination of those sub-strategies. xpertai is formulated generally to work alongside popular xai attribution techniques, based on occlusion, gradient integration, or reverse propagation. qualitative and quantitative results, demonstrate the benefits of our approach.",2024-03-12
"77",77,"pmbo: enhancing black-box optimization through multivariate polynomial surrogates","janina schreiber, pau batlle, damar wicaksono, michael hecht","optimization and control","we introduce a surrogate-based black-box optimization method, termed polynomial-model-based optimization (pmbo). the algorithm alternates polynomial approximation with bayesian optimization steps, using gaussian processes to model the error between the objective and its polynomial fit. we describe the algorithmic design of pmbo and compare the results of the performance of pmbo with several optimization methods for a set of analytic test functions. the results show that pmbo outperforms the classic bayesian optimization and is robust with respect to the choice of its correlation function family and its hyper-parameter setting, which, on the contrary, need to be carefully tuned in classic bayesian optimization. remarkably, pmbo performs comparably with state-of-the-art evolutionary algorithms such as the covariance matrix adaptation -- evolution strategy (cma-es). this finding suggests that pmbo emerges as the pivotal choice among surrogate-based optimization methods when addressing low-dimensional optimization problems. hereby, the simple nature of polynomials opens the opportunity for interpretation and analysis of the inferred surrogate model, providing a macroscopic perspective on the landscape of the objective function.",2024-03-12
"78",78,"a deep learning approach to diabetes diagnosis","zeyu zhang, khandaker asif ahmed, md rakibul hasan, tom gedeon, md zakir hossain","machine learning","diabetes, resulting from inadequate insulin production or utilization, causes extensive harm to the body. existing diagnostic methods are often invasive and come with drawbacks, such as cost constraints. although there are machine learning models like classwise k nearest neighbor (cknn) and general regression neural network (grnn), they struggle with imbalanced data and result in under-performance. leveraging advancements in sensor technology and machine learning, we propose a non-invasive diabetes diagnosis using a back propagation neural network (bpnn) with batch normalization, incorporating data re-sampling and normalization for class balancing. our method addresses existing challenges such as limited performance associated with traditional machine learning. experimental results on three datasets show significant improvements in overall accuracy, sensitivity, and specificity compared to traditional methods. notably, we achieve accuracies of 89.81% in pima diabetes dataset, 75.49% in cdc brfss2015 dataset, and 95.28% in mesra diabetes dataset. this underscores the potential of deep learning models for robust diabetes diagnosis. see project website this https url",2024-03-12
"79",79,"towards graph foundation models for personalization","andreas damianou, francesco fabbri, paul gigioli, marco de nadai, alice wang, enrico palumbo, mounia lalmas","information retrieval","in the realm of personalization, integrating diverse information sources such as consumption signals and content-based representations is becoming increasingly critical to build state-of-the-art solutions. in this regard, two of the biggest trends in research around this subject are graph neural networks (gnns) and foundation models (fms). while gnns emerged as a popular solution in industry for powering personalization at scale, fms have only recently caught attention for their promising performance in personalization tasks like ranking and retrieval. in this paper, we present a graph-based foundation modeling approach tailored to personalization. central to this approach is a heterogeneous gnn (hgnn) designed to capture multi-hop content and consumption relationships across a range of recommendable item types. to ensure the generality required from a foundation model, we employ a large language model (llm) text-based featurization of nodes that accommodates all item types, and construct the graph using co-interaction signals, which inherently transcend content specificity. to facilitate practical generalization, we further couple the hgnn with an adaptation mechanism based on a two-tower (2t) architecture, which also operates agnostically to content type. this multi-stage approach ensures high scalability; while the hgnn produces general purpose embeddings, the 2t component models in a continuous space the sheer size of user-item interaction data. our comprehensive approach has been rigorously tested and proven effective in delivering recommendations across a diverse array of products within a real-world, industrial audio streaming platform.",2024-03-12
"80",80,"imbalance-aware presence-only loss function for species distribution modeling","robin zbinden, nina van tiel, marc rußwurm, devis tuia","machine learning","in the face of significant biodiversity decline, species distribution models (sdms) are essential for understanding the impact of climate change on species habitats by connecting environmental conditions to species occurrences. traditionally limited by a scarcity of species observations, these models have significantly improved in performance through the integration of larger datasets provided by citizen science initiatives. however, they still suffer from the strong class imbalance between species within these datasets, often resulting in the penalization of rare species--those most critical for conservation efforts. to tackle this issue, this study assesses the effectiveness of training deep learning models using a balanced presence-only loss function on large citizen science-based datasets. we demonstrate that this imbalance-aware loss function outperforms traditional loss functions across various datasets and tasks, particularly in accurately modeling rare species with limited observations.",2024-03-12
"81",81,"on the nonconvexity of some push-forward constraints and its consequences in machine learning","lucas de lara (ut3, imt), mathis deronzier (ut3, imt), alberto gonzález-sanz, virgile foy (ut3, imt)","machine learning","the push-forward operation enables one to redistribute a probability measure through a deterministic map. it plays a key role in statistics and optimization: many learning problems (notably from optimal transport, generative modeling, and algorithmic fairness) include constraints or penalties framed as push-forward conditions on the model. however, the literature lacks general theoretical insights on the (non)convexity of such constraints and its consequences on the associated learning problems. this paper aims at filling this gap. in a first part, we provide a range of sufficient and necessary conditions for the (non)convexity of two sets of functions: the maps transporting one probability measure to another; the maps inducing equal output distributions across distinct probability measures. this highlights that for most probability measures, these push-forward constraints are not convex. in a second time, we show how this result implies critical limitations on the design of convex optimization problems for learning generative models or group-fair predictors. this work will hopefully help researchers and practitioners have a better understanding of the critical impact of push-forward conditions onto convexity.",2024-03-12
"82",82,"one for all and all for one: gnn-based control-flow attestation for embedded devices","marco chilese, richard mitev, meni orenbach, robert thorburn, ahmad atamli, ahmad-reza sadeghi","cryptography and security","control-flow attestation (cfa) is a security service that allows an entity (verifier) to verify the integrity of code execution on a remote computer system (prover). existing cfa schemes suffer from impractical assumptions, such as requiring access to the prover's internal state (e.g., memory or code), the complete control-flow graph (cfg) of the prover's software, large sets of measurements, or tailor-made hardware. moreover, current cfa schemes are inadequate for attesting embedded systems due to their high computational overhead and resource usage. in this paper, we overcome the limitations of existing cfa schemes for embedded devices by introducing rage, a novel, lightweight cfa approach with minimal requirements. rage can detect code reuse attacks (cra), including control- and non-control-data attacks. it efficiently extracts features from one execution trace and leverages unsupervised graph neural networks (gnns) to identify deviations from benign executions. the core intuition behind rage is to exploit the correspondence between execution trace, execution graph, and execution embeddings to eliminate the unrealistic requirement of having access to a complete cfg. we evaluate rage on embedded benchmarks and demonstrate that (i) it detects 40 real-world attacks on embedded software; (ii) further, we stress our scheme with synthetic return-oriented programming (rop) and data-oriented programming (dop) attacks on the real-world embedded software benchmark embench, achieving 98.03% (rop) and 91.01% (dop) f1-score while maintaining a low false positive rate of 3.19%; (iii) additionally, we evaluate rage on openssl, used by millions of devices and achieve 97.49% and 84.42% f1-score for rop and dop attack detection, with an fpr of 5.47%.",2024-03-12
"83",83,"on ranking-based tests of independence","myrto limnios (ucph), stéphan clémençon (ltci, ids, s2a, ip paris)","statistics theory","in this paper we develop a novel nonparametric framework to test the independence of two random variables $\mathbf{x}$ and $\mathbf{y}$ with unknown respective marginals $h(dx)$ and $g(dy)$ and joint distribution $f(dx dy)$, based on {\it receiver operating characteristic} (roc) analysis and bipartite ranking. the rationale behind our approach relies on the fact that, the independence hypothesis $\mathcal{h}\_0$ is necessarily false as soon as the optimal scoring function related to the pair of distributions $(h\otimes g,\; f)$, obtained from a bipartite ranking algorithm, has a roc curve that deviates from the main diagonal of the unit square.we consider a wide class of rank statistics encompassing many ways of deviating from the diagonal in the roc space to build tests of independence. beyond its great flexibility, this new method has theoretical properties that far surpass those of its competitors. nonasymptotic bounds for the two types of testing errors are established. from an empirical perspective, the novel procedure we promote in this paper exhibits a remarkable ability to detect small departures, of various types, from the null assumption $\mathcal{h}_0$, even in high dimension, as supported by the numerical experiments presented here.",2024-03-12
"84",84,"experimental comparison of ensemble methods and time-to-event analysis models through integrated brier score and concordance index","camila fernandez (lpsm), chung shue chen, chen pierre gaillard, alonso silva","machine learning","time-to-event analysis is a branch of statistics that has increased in popularity during the last decades due to its many application fields, such as predictive maintenance, customer churn prediction and population lifetime estimation. in this paper, we review and compare the performance of several prediction models for time-to-event analysis. these consist of semi-parametric and parametric statistical models, in addition to machine learning approaches. our study is carried out on three datasets and evaluated in two different scores (the integrated brier score and concordance index). moreover, we show how ensemble methods, which surprisingly have not yet been much studied in time-to-event analysis, can improve the prediction accuracy and enhance the robustness of the prediction performance. we conclude the analysis with a simulation experiment in which we evaluate the factors influencing the performance ranking of the methods using both scores.",2024-03-12
"85",85,"a tutorial on multi-view autoencoders using the multi-view-ae library","ana lawry aguila, andre altmann","machine learning","there has been a growing interest in recent years in modelling multiple modalities (or views) of data to for example, understand the relationship between modalities or to generate missing data. multi-view autoencoders have gained significant traction for their adaptability and versatility in modelling multi-modal data, demonstrating an ability to tailor their approach to suit the characteristics of the data at hand. however, most multi-view autoencoders have inconsistent notation and are often implemented using different coding frameworks. to address this, we present a unified mathematical framework for multi-view autoencoders, consolidating their formulations. moreover, we offer insights into the motivation and theoretical advantages of each model. to facilitate accessibility and practical use, we extend the documentation and functionality of the previously introduced \texttt{multi-view-ae} library. this library offers python implementations of numerous multi-view autoencoder models, presented within a user-friendly framework. through benchmarking experiments, we evaluate our implementations against previous ones, demonstrating comparable or superior performance. this work aims to establish a cohesive foundation for multi-modal modelling, serving as a valuable educational resource in the field.",2024-03-12
"86",86,"fast, accurate and lightweight sequential simulation-based inference using gaussian locally linear mappings","henrik häggström, pedro l. c. rodrigues, geoffroy oudoumanessah, florence forbes, umberto picchini","machine learning","bayesian inference for complex models with an intractable likelihood can be tackled using algorithms performing many calls to computer simulators. these approaches are collectively known as ""simulation-based inference"" (sbi). recent sbi methods have made use of neural networks (nn) to provide approximate, yet expressive constructs for the unavailable likelihood function and the posterior distribution. however, they do not generally achieve an optimal trade-off between accuracy and computational demand. in this work, we propose an alternative that provides both approximations to the likelihood and the posterior distribution, using structured mixtures of probability distributions. our approach produces accurate posterior inference when compared to state-of-the-art nn-based sbi methods, while exhibiting a much smaller computational footprint. we illustrate our results on several benchmark models from the sbi literature.",2024-03-12
"87",87,"ab-initio variational wave functions for the time-dependent many-electron schrödinger equation","jannes nys, gabriel pescia, giuseppe carleo","strongly correlated electrons","describing the dynamics of many-electron quantum systems is crucial for applications such as predicting electronic structures in quantum chemistry, the properties of condensed matter systems, and the behaviors of complex materials. however, the real-time evolution of non-equilibrium quantum electronic systems poses a significant challenge for theoretical and computational approaches, due to the system's exploration of a vast configuration space. this work introduces a variational approach for fermionic time-dependent wave functions, surpassing mean-field approximations by capturing many-body correlations. the proposed methodology involves parameterizing the time-evolving quantum state, enabling the approximation of the state's evolution. to account for electron correlations, we employ time-dependent jastrow factors and backflow transformations. we also show that we can incorporate neural networks to parameterize these functions. the time-dependent variational monte carlo technique is employed to efficiently compute the optimal time-dependent parameters. the approach is demonstrated in three distinct systems: the solvable harmonic interaction model, the dynamics of a diatomic molecule in intense laser fields, and a quenched quantum dot. in all cases, we show clear signatures of many-body correlations in the dynamics not captured by mean-field methods. the results showcase the ability of our variational approach to accurately capture the time evolution of quantum states, providing insight into the quantum dynamics of interacting electronic systems, beyond the capabilities of mean-field.",2024-03-12
"88",88,"proxy methods for domain adaptation","katherine tsai, stephen r. pfohl, olawale salaudeen, nicole chiou, matt j. kusner, alexander d'amour, sanmi koyejo, arthur gretton","machine learning","we study the problem of domain adaptation under distribution shift, where the shift is due to a change in the distribution of an unobserved, latent variable that confounds both the covariates and the labels. in this setting, neither the covariate shift nor the label shift assumptions apply. our approach to adaptation employs proximal causal learning, a technique for estimating causal effects in settings where proxies of unobserved confounders are available. we demonstrate that proxy variables allow for adaptation to distribution shift without explicitly recovering or modeling latent variables. we consider two settings, (i) concept bottleneck: an additional ''concept'' variable is observed that mediates the relationship between the covariates and labels; (ii) multi-domain: training data from multiple source domains is available, where each source domain exhibits a different distribution over the latent confounder. we develop a two-stage kernel estimation approach to adapt to complex distribution shifts in both settings. in our experiments, we show that our approach outperforms other methods, notably those which explicitly recover the latent confounder.",2024-03-12
"89",89,"knowledge transfer across multiple principal component analysis studies","zeyu li, kangxiang qin, yong he, wang zhou, xinsheng zhang","machine learning","transfer learning has aroused great interest in the statistical community. in this article, we focus on knowledge transfer for unsupervised learning tasks in contrast to the supervised learning tasks in the literature. given the transferable source populations, we propose a two-step transfer learning algorithm to extract useful information from multiple source principal component analysis (pca) studies, thereby enhancing estimation accuracy for the target pca task. in the first step, we integrate the shared subspace information across multiple studies by a proposed method named as grassmannian barycenter, instead of directly performing pca on the pooled dataset. the proposed grassmannian barycenter method enjoys robustness and computational advantages in more general cases. then the resulting estimator for the shared subspace from the first step is further utilized to estimate the target private subspace in the second step. our theoretical analysis credits the gain of knowledge transfer between pca studies to the enlarged eigenvalue gap, which is different from the existing supervised transfer learning tasks where sparsity plays the central role. in addition, we prove that the bilinear forms of the empirical spectral projectors have asymptotic normality under weaker eigenvalue gap conditions after knowledge transfer. when the set of informativesources is unknown, we endow our algorithm with the capability of useful dataset selection by solving a rectified optimization problem on the grassmann manifold, which in turn leads to a computationally friendly rectified grassmannian k-means procedure. in the end, extensive numerical simulation results and a real data case concerning activity recognition are reported to support our theoretical claims and to illustrate the empirical usefulness of the proposed transfer learning methods.",2024-03-12
"90",90,"input data adaptive learning (idal) for sub-acute ischemic stroke lesion segmentation","michael götz, christian weber, christoph kolb, klaus maier-hein","image and video processing","in machine learning larger databases are usually associated with higher classification accuracy due to better generalization. this generalization may lead to non-optimal classifiers in some medical applications with highly variable expressions of pathologies. this paper presents a method for learning from a large training base by adaptively selecting optimal training samples for given input data. in this way heterogeneous databases are supported two-fold. first, by being able to deal with sparsely annotated data allows a quick inclusion of new data set and second, by training an input-dependent classifier. the proposed approach is evaluated using the siss challenge. the proposed algorithm leads to a significant improvement of the classification accuracy.",2024-03-12
"91",91,"learning-augmented algorithms with explicit predictors","marek elias, haim kaplan, yishay mansour, shay moran","machine learning","recent advances in algorithmic design show how to utilize predictions obtained by machine learning models from past and present data. these approaches have demonstrated an enhancement in performance when the predictions are accurate, while also ensuring robustness by providing worst-case guarantees when predictions fail. in this paper we focus on online problems; prior research in this context was focused on a paradigm where the predictor is pre-trained on past data and then used as a black box (to get the predictions it was trained for). in contrast, in this work, we unpack the predictor and integrate the learning problem it gives rise for within the algorithmic challenge. in particular we allow the predictor to learn as it receives larger parts of the input, with the ultimate goal of designing online learning algorithms specifically tailored for the algorithmic task at hand. adopting this perspective, we focus on a number of fundamental problems, including caching and scheduling, which have been well-studied in the black-box setting. for each of the problems we consider, we introduce new algorithms that take advantage of explicit learning algorithms which we carefully design towards optimizing the overall performance. we demonstrate the potential of our approach by deriving performance bounds which improve over those established in previous work.",2024-03-12
"92",92,"accelerated inference and reduced forgetting: the dual benefits of early-exit networks in continual learning","filip szatkowski, fei yang, bartłomiej twardowski, tomasz trzciński, joost van de weijer","machine learning","driven by the demand for energy-efficient employment of deep neural networks, early-exit methods have experienced a notable increase in research attention. these strategies allow for swift predictions by making decisions early in the network, thereby conserving computation time and resources. however, so far the early-exit networks have only been developed for stationary data distributions, which restricts their application in real-world scenarios with continuous non-stationary data. this study aims to explore the continual learning of the early-exit networks. we adapt existing continual learning methods to fit with early-exit architectures and investigate their behavior in the continual setting. we notice that early network layers exhibit reduced forgetting and can outperform standard networks even when using significantly fewer resources. furthermore, we analyze the impact of task-recency bias on early-exit inference and propose task-wise logits correction (tlc), a simple method that equalizes this bias and improves the network performance for every given compute budget in the class-incremental setting. we assess the accuracy and computational cost of various continual learning techniques enhanced with early-exits and tlc across standard class-incremental learning benchmarks such as 10 split cifar100 and imagenetsubset and show that tlc can achieve the accuracy of the standard methods using less than 70\% of their computations. moreover, at full computational budget, our method outperforms the accuracy of the standard counterparts by up to 15 percentage points. our research underscores the inherent synergy between early-exit networks and continual learning, emphasizing their practical utility in resource-constrained environments.",2024-03-12
"93",93,"smalltolarge (s2l): scalable data selection for fine-tuning large language models by summarizing training trajectories of small models","yu yang, siddhartha mishra, jeffrey n chiang, baharan mirzasoleiman","computation and language","despite the effectiveness of data selection for large language models (llms) during pretraining and instruction fine-tuning phases, improving data efficiency in supervised fine-tuning (sft) for specialized domains poses significant challenges due to the complexity of fine-tuning data. to bridge this gap, we introduce an effective and scalable data selection method for sft, smalltolarge (s2l), which leverages training trajectories from small models to guide the data selection for larger models. we demonstrate through extensive experiments that s2l significantly improves data efficiency in sft for mathematical problem-solving, reducing the training data to just 11% of the original mathinstruct dataset (yue et al., 2023) to match full dataset performance while outperforming state-of-the-art data selection algorithms by an average of 4.7% across 6 in- and out-domain evaluation datasets. remarkably, selecting only 50k data for sft, s2l achieves a 32.7% accuracy on the most challenging math (hendrycks et al., 2021) benchmark, improving phi-2 (li et al., 2023b) by 16.6%. in clinical text summarization on the mimic-iii dataset (johnson et al., 2016), s2l again outperforms training on the full dataset using only 50% of the data. notably, s2l can perform data selection using a reference model 40x smaller than the target model, proportionally reducing the cost of data selection.",2024-03-12
"94",94,"hallmarks of optimization trajectories in neural networks and llms: the lengths, bends, and dead ends","sidak pal singh, bobby he, thomas hofmann, bernhard schölkopf","machine learning","we propose a fresh take on understanding the mechanisms of neural networks by analyzing the rich structure of parameters contained within their optimization trajectories. towards this end, we introduce some natural notions of the complexity of optimization trajectories, both qualitative and quantitative, which reveal the inherent nuance and interplay involved between various optimization choices, such as momentum, weight decay, and batch size. we use them to provide key hallmarks about the nature of optimization in deep neural networks: when it goes right, and when it finds itself in a dead end. further, thanks to our trajectory perspective, we uncover an intertwined behaviour of momentum and weight decay that promotes directional exploration, as well as a directional regularization behaviour of some others. we perform experiments over large-scale vision and language settings, including large language models (llms) with up to 12 billion parameters, to demonstrate the value of our approach.",2024-03-12
"95",95,"svd-llm: truncation-aware singular value decomposition for large language model compression","xin wang, yu zheng, zhongwei wan, mi zhang","computation and language","the advancements in large language models (llms) have been hindered by their substantial sizes, which necessitate llm compression methods for practical deployment. singular value decomposition (svd) offers a promising solution for llm compression. however, state-of-the-art svd-based llm compression methods have two key limitations: truncating smaller singular values may lead to higher compression loss, and the lack of update on the remaining model parameters after svd truncation. in this work, we propose svd-llm, a new svd-based llm compression method that addresses the limitations of existing methods. svd-llm incorporates a truncation-aware data whitening strategy to ensure a direct mapping between singular values and compression loss. moreover, svd-llm adopts a layer-wise closed-form model parameter update strategy to compensate for accuracy degradation caused by svd truncation. we evaluate svd-llm on a total of 11 datasets and seven models from three different llm families at four different scales. our results demonstrate the superiority of svd-llm over state-of-the-arts, especially at high model compression ratios. the source code is available at this https url.",2024-03-12
"96",96,"entropy is not enough for test-time adaptation: from the perspective of disentangled factors","jonghyun lee, dahuin jung, saehyung lee, junsung park, juhyeon shin, uiwon hwang, sungroh yoon","computer vision and pattern recognition","test-time adaptation (tta) fine-tunes pre-trained deep neural networks for unseen test data. the primary challenge of tta is limited access to the entire test dataset during online updates, causing error accumulation. to mitigate it, tta methods have utilized the model output's entropy as a confidence metric that aims to determine which samples have a lower likelihood of causing error. through experimental studies, however, we observed the unreliability of entropy as a confidence metric for tta under biased scenarios and theoretically revealed that it stems from the neglect of the influence of latent disentangled factors of data on predictions. building upon these findings, we introduce a novel tta method named destroy your object (deyo), which leverages a newly proposed confidence metric named pseudo-label probability difference (plpd). plpd quantifies the influence of the shape of an object on prediction by measuring the difference between predictions before and after applying an object-destructive transformation. deyo consists of sample selection and sample weighting, which employ entropy and plpd concurrently. for robust adaptation, deyo prioritizes samples that dominantly incorporate shape information when making predictions. our extensive experiments demonstrate the consistent superiority of deyo over baseline methods across various scenarios, including biased and wild. project page is publicly available at this https url.",2024-03-12
"97",97,"challenging forgets: unveiling the worst-case forget sets in machine unlearning","chongyu fan, jiancheng liu, alfred hero, sijia liu","machine learning","the trustworthy machine learning (ml) community is increasingly recognizing the crucial need for models capable of selectively 'unlearning' data points after training. this leads to the problem of machine unlearning (mu), aiming to eliminate the influence of chosen data points on model performance, while still maintaining the model's utility post-unlearning. despite various mu methods for data influence erasure, evaluations have largely focused on random data forgetting, ignoring the vital inquiry into which subset should be chosen to truly gauge the authenticity of unlearning performance. to tackle this issue, we introduce a new evaluative angle for mu from an adversarial viewpoint. we propose identifying the data subset that presents the most significant challenge for influence erasure, i.e., pinpointing the worst-case forget set. utilizing a bi-level optimization principle, we amplify unlearning challenges at the upper optimization level to emulate worst-case scenarios, while simultaneously engaging in standard training and unlearning at the lower level, achieving a balance between data influence erasure and model utility. our proposal offers a worst-case evaluation of mu's resilience and effectiveness. through extensive experiments across different datasets (including cifar-10, 100, celeba, tiny imagenet, and imagenet) and models (including both image classifiers and generative models), we expose critical pros and cons in existing (approximate) unlearning strategies. our results illuminate the complex challenges of mu in practice, guiding the future development of more accurate and robust unlearning algorithms. the code is available at this https url.",2024-03-12
"98",98,"premonition: using generative models to preempt future data changes in continual learning","mark d. mcdonnell, dong gong, ehsan abbasnejad, anton van den hengel","computer vision and pattern recognition","continual learning requires a model to adapt to ongoing changes in the data distribution, and often to the set of tasks to be performed. it is rare, however, that the data and task changes are completely unpredictable. given a description of an overarching goal or data theme, which we call a realm, humans can often guess what concepts are associated with it. we show here that the combination of a large language model and an image generation model can similarly provide useful premonitions as to how a continual learning challenge might develop over time. we use the large language model to generate text descriptions of semantically related classes that might potentially appear in the data stream in future. these descriptions are then rendered using stable diffusion to generate new labelled image samples. the resulting synthetic dataset is employed for supervised pre-training, but is discarded prior to commencing continual learning, along with the pre-training classification head. we find that the backbone of our pre-trained networks can learn representations useful for the downstream continual learning problem, thus becoming a valuable input to any existing continual learning method. although there are complexities arising from the domain gap between real and synthetic images, we show that pre-training models in this manner improves multiple class incremenal learning (cil) methods on fine-grained image classification benchmarks. supporting code can be found at this https url.",2024-03-12
"99",99,"graph unlearning with efficient partial retraining","jiahao zhang, lin wang, shijie wang, wenqi fan","machine learning","graph neural networks (gnns) have achieved remarkable success in various real-world applications. however, gnns may be trained on undesirable graph data, which can degrade their performance and reliability. to enable trained gnns to efficiently unlearn unwanted data, a desirable solution is retraining-based graph unlearning, which partitions the training graph into subgraphs and trains sub-models on them, allowing fast unlearning through partial retraining. however, the graph partition process causes information loss in the training graph, resulting in the low model utility of sub-gnn models. in this paper, we propose graphrevoker, a novel graph unlearning framework that better maintains the model utility of unlearnable gnns. specifically, we preserve the graph property with graph property-aware sharding and effectively aggregate the sub-gnn models for prediction with graph contrastive sub-model aggregation. we conduct extensive experiments to demonstrate the superiority of our proposed approach.",2024-03-12
"100",100,"im-unpack: training and inference with arbitrarily low precision integers","zhanpeng zeng, karthikeyan sankaralingam, vikas singh","machine learning","general matrix multiply (gemm) is a central operation in deep learning and corresponds to the largest chunk of the compute footprint. therefore, improving its efficiency is an active topic of ongoing research. a popular strategy is the use of low bit-width integers to approximate the original entries in a matrix. this allows efficiency gains, but often requires sophisticated techniques to control the rounding error incurred. in this work, we first verify/check that when the low bit-width restriction is removed, for a variety of transformer-based models, whether integers are sufficient for all gemms need -- for {\em both} training and inference stages, and can achieve parity with floating point counterparts. no sophisticated techniques are needed. we find that while a large majority of entries in matrices (encountered in such models) can be easily represented by {\em low} bit-width integers, the existence of a few heavy hitter entries make it difficult to achieve efficiency gains via the exclusive use of low bit-width gemms alone. to address this issue, we develop a simple algorithm, integer matrix unpacking (im-unpack), to {\em unpack} a matrix with large integer entries into a larger matrix whose entries all lie within the representable range of arbitrarily low bit-width integers. this allows {\em equivalence} with the original gemm, i.e., the exact result can be obtained using purely low bit-width integer gemms. this comes at the cost of additional operations -- we show that for many popular models, this overhead is quite small.",2024-03-12
